Fri, 22 May 2009 07:06:36 INFO Load CPTLOINC Map
Fri, 22 May 2009 07:06:36 INFO Total 186 CPT_Loinc_map records in file
Fri, 22 May 2009 07:06:37 INFO Done on saving into esp_cptloincmap table.
Fri, 22 May 2009 07:12:45 INFO Done on Adding new loinc to esp_lx table
Fri, 22 May 2009 07:12:45 INFO deleted cptcmpt_list and dic
Fri, 22 May 2009 07:12:45 INFO ## Correct CPTLOINC Map in esp_lx table
Fri, 22 May 2009 07:12:45 INFO # got all case objects
Fri, 22 May 2009 07:12:45 INFO # created caselxid_dict of len 3552
Fri, 22 May 2009 07:12:45 INFO # created cptmap of len 186
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64107779
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64250283
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64250315
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64253540
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64253548
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64253627
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64254239
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64254631
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64255038
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64465488
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64466382
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64473995
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64475117
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64475284
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64475493
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64475519
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64475668
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64475944
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64475989
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64476380
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64477284
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64477293
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64478341
Fri, 22 May 2009 07:28:12 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64479447
Fri, 22 May 2009 07:28:12 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64482509
Fri, 22 May 2009 07:28:12 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64483413
Fri, 22 May 2009 07:28:12 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64484497
Fri, 22 May 2009 07:28:12 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64704176
Fri, 22 May 2009 07:28:12 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64707897
Fri, 22 May 2009 07:28:12 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64708205
Fri, 22 May 2009 07:28:12 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64708541
